Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),168,1,1,9.5,,,,1,Have certificate,Full,,"Đường 26, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.27,7,Tây - Bắc,Tây - Bắc
Chung cư,Quận Bình Thạnh,32,2,2,4.45,,,,2,Have certificate,Full,,"Đường  Vạn Kiếp, Phường 3, Quận Bình Thạnh, Hồ Chí Minh",2.9,2.5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 7,53.2,2,2,4.8,,,,3,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Biệt thự,Huyện Hóc Môn,150,2,1,7.5,,,,1,Have certificate,Full,,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh",5,20,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Thạnh,53,4,4,9.4,,,,4,Have certificate,Basic,,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",4.7,6,Đông,Đông
Nhà hẻm,Quận Gò Vấp,51,4,6,6.5,,,,5,Have certificate,Full,,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh",4.6,6,Nam,Nam
Nhà hẻm,Quận Bình Tân,40,2,2,4.1,,,,2,Have certificate,Full,,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây - Bắc,Tây - Bắc
Chung cư,Quận Bình Tân,35,3,3,2.58,,,,3,Have certificate,Full,,"Hẻm 229, Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",5,4,Tây,Tây
Nhà hẻm,Quận Gò Vấp,56,5,4,6.6,,,,3,Have certificate,Basic,,"Đường Số 20, Phường 9, Quận Gò Vấp, Hồ Chí Minh",4,5,Tây,Tây
Biệt thự,Huyện Nhà Bè,161.8,3,2,6.5,,,,2,Have certificate,Full,,"Đường Nguyễn Văn Ràng, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh",6,6,Đông,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),80,4,4,8.6,,,,5,Have certificate,Full,,"Đường 5, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 7,50,2,2,5.6,,,,2,Have certificate,Full,,"Đường  Trần Xuân Soạn, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",4,5,Đông,Đông - Nam
Nhà hẻm,Quận Tân Bình,43.1,2,2,8.6,,,,2,Have certificate,Full,,"Đường Nhất Chi Mai, Phường 13, Quận Tân Bình, Hồ Chí Minh",4,16,Tây,Tây
Nhà mặt tiền,Quận Tân Phú,65,2,2,5.2,,,,2,Have certificate,Full,,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",4.5,5,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 12,67.2,1,1,3.79,,,,1,Have certificate,Basic,,"Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4.2,6,Nam,Nam
Nhà hẻm,Quận Gò Vấp,50,4,3,6.8,,,,5,Have certificate,Basic,,"Đường Thống Nhất, Phường 10, Quận Gò Vấp, Hồ Chí Minh",5,5,Tây - Nam,Tây - Nam
Chung cư,Quận Bình Tân,30,3,3,1.88,,,,3,Have certificate,Full,,"Đường Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",5,4,Nam,Nam
Nhà mặt tiền,Quận Tân Phú,70,4,2,5.2,,,,2,Have certificate,Basic,,"Đường Lương Đắc Bằng, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh",4,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Thạnh,63,7,3,7.9,,,,8,Have certificate,Full,,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh",3.8,2,Đông - Bắc,Đông - Bắc
Chung cư,Quận 3,36,5,5,9,,,,5,Have certificate,Full,,"Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh",3.4,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,63.6,3,2,6.9,,,,2,Have certificate,Basic,,"Đường Lê Lai, Phường 3, Quận Gò Vấp, Hồ Chí Minh",3,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Gò Vấp,55,4,3,6.1,,,,3,Have certificate,Basic,,"Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh",4,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,50,2,2,3.99,,,,2,Have certificate,Full,,"Đường Bình Trị Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4.1,5,Bắc,Bắc
Chung cư,Quận Tân Bình,33,3,5,8.7,,,,3,Have certificate,Basic,,"Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Hồ Chí Minh",4.2,8,Bắc,Bắc
Nhà hẻm,Quận Phú Nhuận,40.4,5,6,8.6,,,,5,Have certificate,Full,,"Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Hồ Chí Minh",6,4,Tây - Bắc,Tây - Bắc
Chung cư,Quận 8,31.4,2,3,4.3,,,,3,Have certificate,Basic,,"Đường Rạch Cát, Phường 15, Quận 8, Hồ Chí Minh",3.7,10,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 12,84,4,4,10,,,,5,Have certificate,Full,,"Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4.2,12,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 6,72,4,3,9,,,,3,Have certificate,Basic,,"Đường Cư Xá Phú Lâm D, Phường 11, Quận 6, Hồ Chí Minh",4,8,Bắc,Bắc
Nhà mặt tiền,Quận Phú Nhuận,73,4,4,8.9,,,,4,Have certificate,Full,,"241a/, Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh",5.4,3,Tây,Tây - Bắc
Nhà hẻm,Quận 9 (TP. Thủ Đức),50,3,3,3.85,,,,3,Have certificate,Full,,"Dự án Samsung Village, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4,8,Đông - Bắc,Đông - Bắc
Chung cư,Quận Bình Tân,30,3,2,1.88,,,,3,Have certificate,Full,,"Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",4,5,Nam,Nam
Biệt thự,Quận 8,151,2,1,5.7,,,,3,Have certificate,Basic,,"Green River quận 8, số 2225, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",15,15,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 11,70,7,3,8.3,,,,7,Have certificate,Full,,"Đường Lê Thị Bạch Cát, Phường 11, Quận 11, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà hẻm,Quận Tân Bình,58.8,5,4,7.45,,,,4,Have certificate,Full,,"Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Hồ Chí Minh",4.2,8,Tây - Bắc,Tây - Bắc
Chung cư,Quận Phú Nhuận,39,3,4,7.5,,,,2,Have certificate,Full,,"Đường Nguyễn Đình Chính, Phường 11, Quận Phú Nhuận, Hồ Chí Minh",5.2,5,Đông - Nam,Đông - Nam
Chung cư,Quận 12,35,2,2,1.95,,,,2,Have certificate,Full,,"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",7,2.5,Tây,Tây
Nhà hẻm,Quận Bình Tân,51,4,4,5.2,,,,3,Have certificate,Full,,"Đường Lô Tư, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",8,6,Đông,Đông
Biệt thự,Huyện Nhà Bè,100,4,4,8.6,,,,5,Have certificate,Full,,"Số 2534, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Bình Tân,69,3,3,6,,,,3,Have certificate,Basic,,"Đường Tỉnh Lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",5.3,4,Đông,Đông
Chung cư,Quận 12,30,4,3,2.48,,,,3,Have certificate,Basic,,"Đường Thạnh Lộc 13, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",3,4.5,Đông - Bắc,Đông - Nam
Biệt thự,Quận Tân Phú,100,4,3,10,,,,5,Have certificate,Basic,,"Đường T8, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",4,12,Đông - Nam,Đông - Nam
Biệt thự,Quận 7,121,2,1,8.8,,,,2,Have certificate,Basic,,"Đường Tân Mỹ, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",7,3.5,Bắc,Bắc
Nhà hẻm,Quận 12,51,4,4,4.7,,,,4,Have certificate,Basic,,"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",4,4,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Bình Thạnh,80,3,3,9.9,,,,3,Have certificate,Basic,,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",4.1,6,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),62.7,3,2,8,,,,2,Have certificate,Basic,,"Đường Số 6, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.6,8,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,55,4,4,6.77,,,,5,Have certificate,Basic,,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",5,10,Nam,Nam
Nhà hẻm,Quận 12,56,4,3,5.3,,,,5,Have certificate,Basic,,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,7,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),87.8,2,1,4.5,,,,2,Have certificate,Basic,,"27/2/3C, Đường Số 2, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,5,Tây,Tây
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),73,2,1,4.08,,,,1,Have certificate,Full,,"Đường Tây Hòa, Phường Phước Long A, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4.2,3,Bắc,Bắc
Nhà hẻm,Quận 4,61.6,3,2,7.9,,,,3,Have certificate,Full,,"Đường Xóm Chiếu, Phường 16, Quận 4, Hồ Chí Minh",3.2,3.3,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Phú Nhuận,43,3,4,8.6,,,,4,Have certificate,Full,,"Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, Hồ Chí Minh",4.3,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,50,4,3,4.45,,,,5,Have certificate,Basic,,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4.1,10,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 7,70,4,3,9.5,,,,4,Have certificate,Full,,"Đường Lý Phục Man, Phường Phú Thuận, Quận 7, Hồ Chí Minh",4,5,Đông,Đông
Chung cư,Huyện Hóc Môn,30,2,1,1.05,,,,2,Have certificate,Full,,"Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh",3.5,5,Tây,Tây
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,3,8.3,,,,4,Have certificate,Full,,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Bắc,Đông - Bắc
Chung cư,Quận Gò Vấp,16,3,4,2.68,,,,2,Have certificate,Basic,,"345/34/40, Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh",3.2,2,Tây - Bắc,Tây - Bắc
Chung cư,Quận Gò Vấp,20,2,1,3.29,,,,2,Have certificate,Full,,"Đường Cây Trâm, Phường 9, Quận Gò Vấp, Hồ Chí Minh",6,4,Đông - Nam,Đông
Nhà hẻm,Quận Tân Phú,61.9,4,4,8.5,,,,4,Have certificate,Full,,"Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh",7,12,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Bình Tân,64,3,2,4.4,,,,2,Have certificate,Basic,,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",6,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 10,60,4,3,9.2,,,,4,Have certificate,Basic,,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",5,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,51,4,3,4.6,,,,5,Have certificate,Basic,,"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",5.6,7,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Bình Tân,68,4,4,6.5,,,,5,Have certificate,Full,,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,6,Bắc,Bắc
Nhà hẻm,Quận 9 (TP. Thủ Đức),52,4,3,5.5,,,,3,Have certificate,Basic,,"Đường 175, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),72.5,2,3,5.7,,,,3,Have certificate,Full,,"Đường 20, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.2,5,Đông - Bắc,Đông - Bắc
Biệt thự,Quận 12,115,5,3,8.5,,,,5,Have certificate,Full,,"Đường Hiệp Thành 5, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",4.7,12,Đông - Bắc,Đông - Bắc
Biệt thự,Huyện Nhà Bè,320,6,2,9.9,,,,6,Have certificate,Basic,,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh",23,8,Nam,Nam
Nhà mặt tiền,Quận Phú Nhuận,67,3,3,6.9,,,,3,Have certificate,Full,,"Đường Huỳnh Văn Bánh, Phường 17, Quận Phú Nhuận, Hồ Chí Minh",5,3,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,58,2,2,3.83,,,,2,Have certificate,Full,,"Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",5,8,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,50.1,4,4,4.45,,,,5,Have certificate,Basic,,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,7,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),90,3,2,7.6,,,,3,Have certificate,Basic,,"Đường Số 2, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),50,4,3,6.8,,,,3,Have certificate,Full,,"Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.55,5,Tây - Nam,Tây - Nam
Chung cư,Quận Bình Tân,24,2,2,1.68,,,,3,Sale contract,Basic,,"Đường Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",4,4,Đông,Đông
Chung cư,Quận Phú Nhuận,18.9,1,1,3.8,,,,1,Have certificate,Basic,,"19/25, Đường Lam Sơn, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",3.1,8,Đông,Đông
Chung cư,Quận Phú Nhuận,39,4,4,7.75,,,,4,Have certificate,Full,,"Đường Nhiêu Tứ, Phường 7, Quận Phú Nhuận, Hồ Chí Minh",6,5,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,56,4,3,7.8,,,,5,Have certificate,Basic,,"Đường Nguyễn Thị Nhuần, Phường An Phú Đông, Quận 12, Hồ Chí Minh",4,20,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 7,60,4,3,9.5,,,,4,Have certificate,Basic,,"Đường 5, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",4,8,Nam,Nam
Nhà hẻm,Quận 12,56,4,4,5.7,,,,5,Have certificate,Full,,"Đường Thạnh Lộc 43, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",9,9,Tây,Tây
Nhà hẻm,Quận 10,54,2,2,8.8,,,,2,Have certificate,Basic,,"163, Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh",3,12,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Tân Bình,54,4,1,7.8,,,,3,Have certificate,Basic,,"Hẻm 104, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh",8,6,Tây - Bắc,Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),92.5,4,3,9.25,,,,3,Have certificate,Full,,"Dự án Mega Ruby, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,20,Nam,Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),56.7,3,2,6.5,,,,3,Have certificate,Full,,"Đường 8, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.12,8,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,45,4,4,5.48,,,,5,Have certificate,Basic,,"247/9, Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Hồ Chí Minh",5.6,4,Bắc,Bắc
Chung cư,Quận Thủ Đức (TP. Thủ Đức),35.7,2,2,2.85,,,,2,Have certificate,Basic,,"Đường 4, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.2,2.5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),71.4,3,3,9.5,,,,2,Have certificate,Full,,"Đường 359, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,7,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Tân,56.25,5,4,6.85,,,,6,Have certificate,Basic,,"Đường Mã Lò, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4.5,7,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Tân Phú,64,4,3,5.68,,,,3,Have certificate,Basic,,"Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4.1,6,Tây,Tây
Nhà hẻm,Quận Tân Phú,41.1,4,5,7.5,,,,3,Have certificate,Basic,,"Đường Nguyễn Trường Tộ, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh",5,12,Bắc,Bắc
Biệt thự,Quận Bình Tân,108,5,3,8.3,,,,4,Have certificate,Full,,"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",8,8,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Bình Tân,66,5,5,5.6,,,,6,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4.1,8,Đông,Đông
Nhà hẻm,Quận Bình Thạnh,60,6,4,6.5,,,,4,Have certificate,Full,,"Đường Bình Quới, Phường 27, Quận Bình Thạnh, Hồ Chí Minh",3.8,2,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Tân,52,3,2,4.1,,,,2,Have certificate,Full,,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4.2,4,Tây,Tây
Nhà mặt tiền,Quận 7,70,2,2,6.2,,,,2,Have certificate,Basic,,"Hẻm 308, Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",4,4,Nam,Nam
Biệt thự,Quận Gò Vấp,100,5,5,10,,,,6,Have certificate,Full,,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4.2,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Bình Tân,64,3,3,5.65,,,,3,Have certificate,Full,,"Đường Số 55A, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,10,Bắc,Bắc
Chung cư,Quận 1,29,3,4,5.5,,,,3,Have certificate,Basic,,"Đường Nguyễn Phi Khanh, Phường Tân Định, Quận 1, Hồ Chí Minh",2.55,4,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Bình Tân,98.8,4,4,6.7,,,,5,Have certificate,Full,,"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",5.2,6,Bắc,Bắc
Nhà hẻm,Quận Gò Vấp,55,2,2,5.2,,,,2,Have certificate,Basic,,"Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Hồ Chí Minh",4,4,Nam,Nam
Nhà hẻm,Quận 12,50,4,4,5.7,,,,4,Have certificate,Full,,"Đường Thạnh Lộc 26, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,12,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Tân Bình,60,4,3,9.5,,,,4,Have certificate,Full,,"80, Đường Ba Vân, Phường 14, Quận Tân Bình, Hồ Chí Minh",4.5,12,Đông,Đông
Nhà hẻm,Quận Bình Thạnh,63,4,3,6.95,,,,4,Have certificate,Full,,"Đường Lê Quang Định, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",4.05,2.5,Nam,Nam
Nhà mặt tiền,Quận Gò Vấp,64,4,3,6.85,,,,4,Have certificate,Full,,"Đường Số 3, Phường 9, Quận Gò Vấp, Hồ Chí Minh",4.2,4,Tây - Nam,Tây - Nam
Biệt thự,Quận 12,217,3,2,9.5,,,,2,Have certificate,Basic,,"48/4, Đường Đông Hưng Thuận 40, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",9,3,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),74,3,3,5.8,,,,4,Have certificate,Full,,"Đường Số 2, Phường Long Trường, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Chung cư,Quận Phú Nhuận,38,3,4,6.78,,,,4,Have certificate,Full,,"Đường Nguyễn Đình Chính, Phường 11, Quận Phú Nhuận, Hồ Chí Minh",4.2,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,45,3,4,6,,,,3,Have certificate,Basic,,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Chung cư,Quận 9 (TP. Thủ Đức),30,2,2,2.95,,,,1,Have certificate,Basic,,"Đường 339, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",6,3,Tây - Bắc,Tây - Bắc
Chung cư,Quận 4,25,2,2,2.5,,,,2,Have certificate,Full,,"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",3,3.5,Đông,Đông
Nhà mặt tiền,Quận Bình Tân,88,6,3,8,,,,6,Have certificate,Full,,"Đường Trần Thanh Mại, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",4,15,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Tân,48,2,2,3,,,,2,Have certificate,Full,,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",4,4,Nam,Nam
Nhà mặt tiền,Quận Bình Tân,68,5,5,6.95,,,,6,Have certificate,Full,,"Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,8,Bắc,Bắc
Chung cư,Quận Tân Bình,35,2,2,3.58,,,,2,Have certificate,Basic,,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh",3,3,Tây,Tây
Nhà mặt tiền,Quận 7,87.1,4,2,6,,,,4,Have certificate,Basic,,"Hẻm 1205, Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",6.7,4,Đông,Đông
Nhà hẻm,Quận 8,42,3,4,6.4,,,,3,Have certificate,Full,,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",5,4,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Tân,60,5,5,5.1,,,,5,Have certificate,Full,,"Hẻm 125, Đường Tây Lân, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,6,Đông,Đông
Chung cư,Quận Bình Tân,35,2,2,2,,,,2,Have certificate,Full,,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,4,Đông,Đông
Nhà mặt tiền,Quận 6,68,4,3,9.8,,,,5,Have certificate,Full,,"Đường Số 21, Phường 10, Quận 6, Hồ Chí Minh",4,8,Tây,Tây
Chung cư,Quận 4,21,3,4,7,,,,4,Have certificate,Basic,,"Số 36, Đường Số 25, Phường 4, Quận 4, Hồ Chí Minh",6,6,Tây,Tây
Chung cư,Quận Bình Tân,24,2,1,2.75,,,,2,Have certificate,Basic,,"1/, Đường Số 13A, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",3,3,Đông,Đông
Nhà hẻm,Quận 12,58,3,3,3.95,,,,3,Have certificate,Full,,"Đường Thạnh Xuân 24, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Bình Tân,73,3,2,4.5,,,,1,Have certificate,Basic,,"Đường Chiến Lược, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Bắc,Bắc
Nhà mặt tiền,Quận 12,71.7,4,5,8.3,,,,5,Have certificate,Basic,,"Đường Thạnh Lộc 29, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 12,76,4,4,6.3,,,,5,Have certificate,Full,,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,3,6.8,,,,3,Have certificate,Basic,,"Đường 389, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.5,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 12,78.8,4,3,5.57,,,,4,Have certificate,Full,,"Đường Tân Thới Nhất 1, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4.5,10,Nam,Nam
Nhà mặt tiền,Huyện Bình Chánh,90,4,3,7,,,,4,Sale contract,Basic,,"Dự án The Meadow Huyện Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh",5,20,Tây - Bắc,Đông - Nam
Chung cư,Quận Tân Phú,32.3,2,2,4.5,,,,2,Have certificate,Basic,,"30/24 Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",4,10,Nam,Nam
